Timestamp,AoI
6050.362650151,5307.091297713
6051.362379845,5307.090878016999
6052.362366556,5307.090686342
6053.362037747,5307.090247075999
6054.363892779,5307.091959042
6055.364544545,5307.092487339
6056.363328635,5307.091145388
6057.372411861,5307.100093278999
6058.362780819,5307.090334128
6059.371436115,5307.098867225999
6060.365633143,5307.092952965
6061.3677155,5307.094938777
6062.381645963,5307.108776161
6063.373597366,5307.100618932999
6064.381899043,5307.108810185
6065.40026017,5307.127068334001
6066.384476646,5307.111180539
6067.368881956,5307.095427117
6068.364494294,5307.09093606
6069.376296517,5307.1026156689995
6070.366001735,5307.092150442
6071.364230451,5307.090272937
6072.36450025,5307.090421964
6073.364070988,5307.089823209
6074.364552915,5307.090196387
6075.365095785,5307.090569345
6076.36512654,5307.090379042001
6077.365283665,5307.090411481
6078.365549771,5307.090549646
6079.365530152,5307.090343736
6080.368170118,5307.092853673001
6081.36587482,5307.090342423
6082.365878957,5307.090224389
6083.365957648,5307.090113244
6084.366052117,5307.090083158
6085.367962073,5307.091809784
6086.365987752,5307.0897234310005
6087.366225662,5307.089807646
6088.365951698,5307.089406952
6089.366325717,5307.089605058
6090.367431165,5307.090606078
6091.367403884,5307.090409094
6092.367744677,5307.090636093
6093.367764449,5307.090455093
6094.369691599,5307.092259788
6095.367811528,5307.09020556
6096.36840191,5307.090681196
6097.368202455,5307.090311442
6098.368956021,5307.090943802999
