Timestamp,Offset (s),Max Error (s)
2025-02-20 08:52:50,0.039357,0.046729
2025-02-20 08:52:50,-3.7e-05,0.004213
2025-02-20 08:52:50,-8.7e-05,0.004213
2025-02-20 08:52:50,0.000113,0.004437
2025-02-20 08:52:51,-8.6e-05,0.004161
2025-02-20 08:52:51,-0.000119,0.004137
2025-02-20 08:52:51,-2.8e-05,0.004414
2025-02-20 08:52:51,-3.2e-05,0.004272
2025-02-20 08:52:51,0.000952,0.005195
2025-02-20 08:52:51,-1.9e-05,0.00417
2025-02-20 08:52:51,-0.000659,0.004818
2025-02-20 08:52:51,-0.000796,0.005066
2025-02-20 08:52:52,6e-06,0.004176
2025-02-20 08:52:52,6e-05,0.004249
2025-02-20 08:52:52,-9e-06,0.004026
2025-02-20 08:52:52,0.000226,0.004201
2025-02-20 08:52:52,0.000377,0.004276
2025-02-20 08:52:52,0.00029,0.004249
2025-02-20 08:52:52,0.000505,0.004331
2025-02-20 08:52:53,0.000403,0.004203
2025-02-20 08:52:53,-7.4e-05,0.003706
2025-02-20 08:52:53,0.00179,0.005692
2025-02-20 08:52:53,0.000404,0.004414
2025-02-20 08:52:53,0.00026,0.004341
2025-02-20 08:52:53,0.000839,0.005028
2025-02-20 08:52:53,3.1e-05,0.004166
2025-02-20 08:52:53,-0.000875,0.004314
2025-02-20 08:52:54,-0.000359,0.003973
2025-02-20 08:52:54,0.000158,0.00435
2025-02-20 08:52:54,-2.1e-05,0.004846
2025-02-20 08:52:54,0.000195,0.004269
2025-02-20 08:52:54,-0.00027,0.003693
2025-02-20 08:52:54,0.001925,0.005981
2025-02-20 08:52:54,0.000433,0.004273
2025-02-20 08:52:55,0.000412,0.0042
2025-02-20 08:52:55,0.000421,0.004282
2025-02-20 08:52:55,-1.4e-05,0.004683
2025-02-20 08:52:55,0.000144,0.00425
2025-02-20 08:52:55,6e-06,0.004383
2025-02-20 08:52:55,-0.000165,0.004754
2025-02-20 08:52:55,0.001646,0.005983
2025-02-20 08:52:56,-8.7e-05,0.004213
2025-02-20 08:52:56,-0.001286,0.005568
2025-02-20 08:52:56,-0.000741,0.004319
2025-02-20 08:52:56,1e-06,0.004258
2025-02-20 08:52:56,-4e-05,0.004332
2025-02-20 08:52:56,-8.6e-05,0.004291
2025-02-20 08:52:56,-0.000253,0.004002
2025-02-20 08:52:56,0.000118,0.00437
2025-02-20 08:52:57,0.000185,0.004411
2025-02-20 08:52:57,-4.9e-05,0.004166
2025-02-20 08:52:57,-0.000595,0.00469
2025-02-20 08:52:57,-7e-05,0.004708
2025-02-20 08:52:57,-0.000129,0.004139
2025-02-20 08:52:57,-7.1e-05,0.004327
2025-02-20 08:52:57,-0.00035,0.003957
2025-02-20 08:52:58,-0.000135,0.004204
2025-02-20 08:52:58,-0.001557,0.002839
2025-02-20 08:52:58,0.001408,0.005784
2025-02-20 08:52:58,-0.000204,0.004401
2025-02-20 08:52:58,2e-05,0.004321
2025-02-20 08:52:58,-0.001019,0.004824
2025-02-20 08:52:58,0.000145,0.004283
2025-02-20 08:52:58,-0.00058,0.004541
2025-02-20 08:52:59,0.000103,0.004133
2025-02-20 08:52:59,0.000177,0.00413
2025-02-20 08:52:59,0.000338,0.004182
2025-02-20 08:52:59,0.000437,0.004281
2025-02-20 08:52:59,0.001229,0.004983
2025-02-20 08:52:59,0.000413,0.004279
2025-02-20 08:52:59,0.000185,0.004691
2025-02-20 08:53:00,0.000687,0.004269
2025-02-20 08:53:00,-0.000718,0.005243
2025-02-20 08:53:00,0.000402,0.004464
2025-02-20 08:53:00,0.000551,0.004172
2025-02-20 08:53:00,0.000469,0.004241
2025-02-20 08:53:00,0.000417,0.004177
2025-02-20 08:53:00,7.6e-05,0.00459
2025-02-20 08:53:01,0.000399,0.004352
2025-02-20 08:53:01,0.000198,0.004036
