Uncompressed,Compressed
9979304,1224705
9998198,1227025
9988952,1225889
9988550,1225841
9999806,1227221
9982520,1225101
10019906,1229689
9980510,1224853
9988148,1225789
9999404,1227173
9982922,1225149
9999404,1227173
9999002,1227121
9983324,1225197
9998600,1227073
9988550,1225841
9999404,1227173
9999404,1227173
9999404,1227173
9999002,1227121
9989354,1225937
10000208,1227269
9988550,1225841
9999002,1227121
9998600,1227073
9998600,1227073
9999404,1227173
9982118,1225049
9998600,1227073
9979706,1224753
